development,x_need_20,total_number_of_apartments,cap_per_unit,cat_1,cat_1_amt,cat_2,cat_2_amt,cat_3,cat_3_amt
BRONX RIVER ADDITION,66144894.62,226,292676.52486725664,Apartments,34818208.54,Heating,6545938.65,Elevators,5853254.76
BROWN,76484381.27,200,382421.90635,Apartments,32476177.84,Heating,14695679.67,Building Exterior/Facade/Window,8471239.7
BROWNSVILLE,737968447.28,1338,551545.9247234678,Apartments,244601243.17,Heating,112801619.09,Building Exterior/Facade/Window,111664981.67
BRYANT AVENUE-EAST 174TH STREET,30298878.27,72,420817.75375,Apartments,13144699.15,Building Exterior/Facade/Window,4136405.86,Heating,3452118.09
BUSHWICK,539434063.83,1220,442159.0687131148,Apartments,222652022.81,Heating,126381950.1,Plumbing,39197233.25
BUTLER,593511440.79,1492,397795.8718431635,Apartments,273321231.49,Heating,117670267.3,Building Exterior/Facade/Window,57983469.599999994
CAMPOS PLAZA II,122589347.49,224,547273.8727232142,Apartments,45296591.63,Heating,33982528.5,Elevators,10243195.83
CAREY GARDENS,268930212.44,683,393748.4808784773,Apartments,115996923.61,Heating,35367800.92,Building Exterior/Facade/Window,33668423.81
CARLETON MANOR,72006810.1,174,413832.24195402296,Apartments,31670383.59,Building Exterior/Facade/Window,8113348.66,Heating,8010207.15
CARVER,555922541.09,1246,446165.7633146068,Apartments,236786859.96,Building Exterior/Facade/Window,91372626.46,Heating,81380668.99000001
CASSIDY-LAFAYETTE,136183758.9,380,358378.3128947369,Apartments,62318699.6,Building Exterior/Facade/Window,18112766.46,Heating,14888300.09
CASTLE HILL,835708766.98,2025,412695.6873975309,Apartments,323702985.61,Heating,131461406.56,Building Exterior/Facade/Window,122355416.25
CHELSEA,178933772.41,425,421020.64096470585,Apartments,80084374.41,Heating,30359568.81,Building Exterior/Facade/Window,18336507.150000002
CHELSEA ADDITION,47501322.83,96,494805.4461458333,Apartments,15755943.04,Heating,6825470.66,Common Areas/Lobbies,6253833.4
CLAREMONT PARKWAY-FRANKLIN AVENUE,85212624.41,188,453258.6404787234,Apartments,33762731.26,Building Exterior/Facade/Window,11720719.82,Heating,9669806.42
CLAREMONT REHAB (GROUP 2),61485199.93,107,574628.036728972,Apartments,24457646.25,Building Exterior/Facade/Window,7211759.94,Heating,6493533.89
CLAREMONT REHAB (GROUP 3),58912656.78,115,512283.972,Apartments,23666278.900000002,Building Exterior/Facade/Window,10233783.780000001,Heating,5521801.100000001
CLAREMONT REHAB (GROUP 4),75892122.36,150,505947.4824,Apartments,30859234.75,Building Exterior/Facade/Window,14690280.31,Heating,7256099.69
CLAREMONT REHAB (GROUP 5),72468519.64,135,536803.8491851852,Apartments,26201645.07,Roofs,11407893.15,Building Exterior/Facade/Window,11267369.87
CLASON POINT GARDENS,239746181.85999998,401,597870.7777057356,Apartments,65021212.55,Heating,44167353.68,Plumbing,35461356.589999996
CLINTON,349670462.73,749,466849.74997329776,Apartments,136764263.85,Heating,77592346.75,Building Exterior/Facade/Window,46270516.7
COLLEGE AVENUE-EAST 165TH STREET,32389982.66,95,340947.18589473685,Apartments,14874348.19,Heating,4547710.13,Elevators,2926627.38
CONEY ISLAND,230442159.34,534,431539.62423220975,Apartments,105681811.57,Plumbing,30903383.38,Heating,29597449.01
CONEY ISLAND I (SITE 1B),83490335.17999999,193,432592.4102590673,Apartments,40150348.129999995,Building Exterior/Facade/Window,10858577.93,Heating,9410149.11
CONEY ISLAND I (SITE 8),53512938.87,125,428103.51096,Apartments,26142795.53,Building Exterior/Facade/Window,7279996.39,Heating,4848044.52
CONEY ISLAND I (SITES 4 & 5),146267384.4,376,389009.0010638298,Apartments,77553525.3,Building Exterior/Facade/Window,16482029.379999999,Heating,16125858.9
CONLON LIHFE TOWER,71920935.67,216,332967.29476851854,Apartments,34530399.87,Heating,15362770.610000001,Building Exterior/Facade/Window,5426145.85
COOPER PARK,397668271.9,700,568097.5312857142,Apartments,136084937.44,Heating,62600451.760000005,Building Exterior/Facade/Window,57788170.96
CORSI HOUSES,83343654.36,171,487389.7915789474,Apartments,28934295.62,Heating,24254240.35,Common Areas/Lobbies,6985721.54
CROWN HEIGHTS,65393555.49,121,540442.6073553719,Apartments,26244836.79,Building Exterior/Facade/Window,7672749.47,Heating,7551995.11
CYPRESS HILLS,646178891.34,1444,447492.3070221607,Apartments,278426744.12,Heating,70595943.59,Building Exterior/Facade/Window,62031694.019999996
DAVIDSON,76404800.14,175,436598.85794285714,Apartments,34655164.36,Heating,8139688.01,Common Areas/Lobbies,6001272.52
DE HOSTOS APARTMENTS,90818768.73,223,407259.05260089686,Apartments,43206313.34,Heating,15946920.14,Building Exterior/Facade/Window,11162091.26
DOUGLASS ADDITION,64670714.94,135,479042.3328888889,Apartments,30384625.88,Heating,8474226.870000001,Building Exterior/Facade/Window,8012046.350000001
DOUGLASS I,585632016.58,1305,448760.1659616859,Apartments,241391878.08,Heating,92643401.06,Building Exterior/Facade/Window,74888938.81
DOUGLASS II,334483272.5,753,444200.8930942895,Apartments,141025478.75,Heating,53100917.44,Building Exterior/Facade/Window,45973028.14
DREW-HAMILTON,508585139.32,1217,417900.689663106,Apartments,214486062.87,Heating,125571881.19,Building Exterior/Facade/Window,51670378.37
DYCKMAN,482365433.05,1167,413337.9889031705,Apartments,213718219.12,Heating,80654944.50999999,Building Exterior/Facade/Window,62053613.17
EAGLE AVENUE-EAST 163RD STREET,28322837.78,66,429133.90575757576,Apartments,12468946.55,Building Exterior/Facade/Window,4279326.2700000005,Heating,3112832.64
EAST 152ND STREET-COURTLANDT AVENUE,87239612.36,221,394749.37719457014,Apartments,40264161.78,Heating,22893779.48,Elevators,5929802.7
EAST 165TH STREET-BRYANT AVENUE,68542719.23,111,617501.9750450451,Apartments,22067532.03,Building Exterior/Facade/Window,17231419.669999998,Heating,7064809.600000001
EAST 173RD STREET-VYSE AVENUE,91008457.75999999,168,541717.0104761904,Apartments,34121821.519999996,Building Exterior/Facade/Window,21429257.61,Heating,11892964.72
EAST 180TH STREET-MONTEREY AVENUE,115671549.45,239,483981.37845188286,Apartments,46734591.95,Heating,18573564.58,Building Exterior/Facade/Window,10536693.72
EAST NEW YORK CITY LINE,61546464.43,66,932522.1883333334,Apartments,11885779.45,Heating,11435828.99,Roofs,10570883.44
EAST RIVER,554513944.04,1170,473943.54191452987,Apartments,205727570.66,Heating,90882675.41,Plumbing,69046109.86
EASTCHESTER GARDENS,405977612.92,877,462916.32031927025,Apartments,165724035.07,Plumbing,56346459.9,Building Exterior/Facade/Window,46409790.02
EDENWALD,1119292625.9,2039,548941.9450220697,Apartments,412294194.93,Heating,174721531.04,Plumbing,133040036.22
ELLIOTT,255225394.20999998,608,419778.6088980263,Apartments,110267161.64999999,Heating,43573337.71,Building Exterior/Facade/Window,37856027.9
FARRAGUT,506685218.79999995,1390,364521.74014388485,Apartments,265859398.80999997,Heating,73133788.57000001,Common Areas/Lobbies,33601416
FENIMORE-LEFFERTS,32104109.86,36,891780.8294444444,Apartments,7309961.34,Heating,5795723.44,Building Exterior/Facade/Window,5360312.47
FIRST HOUSES,74263786.13,126,589395.128015873,Apartments,20028873.009999998,Building Exterior/Facade/Window,10401749,Heating,9874045.94
FOREST,687991882.98,1350,509623.61702222226,Apartments,260543578.57,Heating,139641695.6,Building Exterior/Facade/Window,100770452.57000001
FORT INDEPENDENCE STREET-HEATH AVENUE,146635781.98,344,426266.80808139534,Apartments,63951754.58,Heating,35428382.72,Building Exterior/Facade/Window,10586590.7
FULTON,445849334.13,944,472298.0234427966,Apartments,177593192.28,Heating,113315590.21000001,Elevators,36582842.25
GARVEY (GROUP A),169517970.6,321,528093.3663551401,Apartments,64179546.230000004,Heating,33176229.46,Building Exterior/Facade/Window,14630782.59
GLEBE AVENUE-WESTCHESTER AVENUE,49875110.63,132,377841.7471969697,Apartments,22906959.27,Heating,6570482.16,Grounds,5060404.73
GLENMORE PLAZA,233537183.64000002,440,530766.3264545455,Apartments,82443964.7,Heating,65536269.97,Building Exterior/Facade/Window,29624393.55
GLENWOOD,663852633.73,1188,558798.5132407408,Apartments,215473860.09,Heating,122963421.9,Building Exterior/Facade/Window,81252411.64
